"","Lizard_ID","eggID","bd_liz_id","clutch","egg_encl_ID","species","trt","temp","hormone","hatch_date_dmy","season","date_egg_laid_dmy","Julian_lay","days_to_hatch","Julian_hatch_date","egg_mass","egg_length_mm","egg_width_mm","hatch_mass_g","hatch_svl_mm","hatch_tail_orig_mm","juv1_measure_date_dmy","juv1_SVL_mm","juv1_measure_tail_mm","juv1_mass_g","Liz_ID","juv2_measure_date_dmy","juv2_SVL_mm","juv2_measure_tail_mm","juv2_mass_g","person_juv2","liz_status_db","mortality_date_dmy","tail_loss_hatching","tail_loss_juv1","tail_loss_juv2","tail_loss_overall","notes_juv1","notes_juv2","notes_db","juv3_date","juv3_measure_time","Plate_CORT_juv3","juv3_sample_ID","sex","juv3_data_ssue_Y_N","juv3_SVL_mm","juv3_tail_mm","juv3_mass_g","juv3_temperature","juv3_CORT_Treatment","juv3_HandlingTime_sec","juv3_Testosterone_plate","juv3_Testosterone_Final_ng_ml","juv3_T4_plate","juv3_T4_corrected_ng_mL","juv3_Sample_volume_ul","juv3_CORT_Final_Hormone_ng_mL","notes_juv3","juv3_inject_time_sec","juv3_liver_time_sec","juv3_oroboros","juv3_chamber","juv3_basal_corrected.pmol..sec.ng..","juv3_adp_corrected.pmol..sec.ng..","juv3_oligo_corrected.pmol..sec.ng..","juv3_fccp_corrected.pmol..sec.ng..","juv3_RCR.L.R.","juv3_RCR.L.ETS.","juv3_RCR.R.ETS.","juv3_oroboros_comments","Juvenile1_Age","Juvenile2_Age","Juvenile3_Age","hatch_juv3_SVL_growth","hatch_juv3_MASS_growth","hatch_juv1_SVL_growth","hatch_juv1_mass_growth","juv1_juv3_svl_growth","juv1_juv3_mass_growth","hatch_mass_svl","juv1_mass_svl","juv2_mass_svl","juv3_mass_svl","log_hatch_mass","log_hatch_SVL","log_juv1_mass","log_juv1_SVL","log_juv2_mass","log_juv2_SVL","log_juv3_mass","log_juv3_SVL","ScaledMass_hatch","ScaledMass_juv1","ScaledMass_juv2","ScaledMass_juv3"
"1","LD721_21","EG721_21","LD721_21","CL209_21","E004_F120","delicata","C_23_Topical","23","control","21/02/2022","2021/22","1/01/2022",1,51,52,0.102,9.08,4.67,0.128,18,25,"3/06/2022",34,46,0.626,"LD721_21",NA,NA,NA,NA,"","ALIVE",NA,0,0,0,0,"","egg dehydrated quite bad","egg dehydrated quite bad",2020-05-24,"9:21","3",46,"M","N",43,67,1.627,23,"control",162,"T1",1344.02,"2",0.35,5,375.41,"very large liver, dilute in 600ul",28,242,72809,"B",0.2716,1.8245,0.2355,15.5383,0.8669,0.3073,0.3544,"very large liver, dilute in 600ul",102,170,458,0.054585152838428,0.00327292576419214,0.156862745098039,0.00488235294117647,0.0252808988764045,0.00281179775280899,0.00711111111111111,0.0184117647058824,NA,0.0378372093023256,-2.05572501506252,2.89037175789616,-0.468404907882039,3.52636052461616,NA,NA,0.486737828236901,3.76120011569356,0.117686735572882,0.427951466914747,NA,1.50356996363227
"2","LD722_21","EG722_21","LD722_21","CL209_21","E004_F120","delicata","CORT_23_10pg_Topical","23","high",NA,"2021/22","1/01/2022",1,NA,NA,0.108,8.36,5.11,0.097,16,21,"3/06/2022",28.3,46,0.525,"LD722_21",NA,NA,NA,NA,"","ALIVE",NA,0,0,0,0,"","egg litle dehydrated, but fine","egg litle dehydrated, but fine",2020-05-19,"9:35","6",19,"M","N",44,62,1.539,23,"high",205,"T1",1198.49,"1",0.4,5,539.76,"",19,327,72810,"A",0.1429,0.9682,0.1616,6.457,1.1312,0.258,0.2281,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0060625,0.0185512367491166,NA,0.0349772727272727,-2.33304430047875,2.77258872223978,-0.644357016390513,3.34286180464919,NA,NA,0.431132854856742,3.78418963391826,0.117126472993381,0.573347032091758,NA,1.33148904947264
"3","LD723_21","EG723_21","LD723_21","CL209_21","E004_F120","delicata","CORT_23_5pg_Topical","23","low","21/02/2022","2021/22","1/01/2022",1,51,52,0.118,8.47,5.46,0.139,19,25,"3/06/2022",31.5,45,0.505,"LD723_21","10/08/2022",35,46,0.723,"DCL","ALIVE",NA,0,1,1,1,"tail fell off","egg litle dehydrated, but fine","egg litle dehydrated, but fine",2020-05-23,"14:31","3",41,"F","N",43,61,1.752,23,"low",147,"",NA,"2",0.83,5,374.4,"extra 500ul aliquot 41B",22,240,72809,"A",0.2569,1.3167,0.1002,7.5395,0.3901,0.1198,0.3071,"extra 500ul aliquot 41B",102,170,457,0.0525164113785558,0.00352954048140044,0.122549019607843,0.00358823529411765,0.0323943661971831,0.00351267605633803,0.00731578947368421,0.016031746031746,0.0206571428571429,0.0407441860465116,-1.97328134585145,2.94443897916644,-0.683196849706777,3.44998754583159,-0.324346056823372,3.55534806148941,0.5607579925142,3.76120011569356,0.112771048985438,0.419549678424293,0.548412550017937,1.61908701676935
"4","LD726_21","EG726_21","LD726_21","CL210_21","E001_F120","delicata","C_28_Topical","28","control","3/02/2022","2021/22","1/01/2022",1,33,34,0.125,7.8,5.56,0.102,17,22,NA,NA,NA,NA,"LD726_21",NA,NA,NA,NA,"","DEAD","3/02/2022",0,0,0,0,"","died after hatching; 3/2/22","died after hatching; 3/2/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,188,NA,NA,NA,NA,NA,NA,NA,0.006,NA,NA,NA,-2.28278246569787,2.83321334405622,NA,NA,NA,NA,NA,NA,0.107043162647465,NA,NA,NA
"5","LD727_21","EG727_21","LD727_21","CL210_21","E001_F120","delicata","C_23_Topical","23","control","27/02/2022","2021/22","1/01/2022",1,57,58,0.126,8.05,5.84,0.115,18,24,NA,NA,NA,NA,"LD727_21",NA,NA,NA,NA,"","ALIVE",NA,0,0,0,0,"","** Note that this ID was unclear. Could be labelled 772, but more likely 727. 772 is already hatched. Defnietly from 23C treatment","** Note that this ID was unclear. Could be labelled 772, but more likely 727. 772 is already hatched. Defnietly from 23C treatment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,164,NA,NA,NA,NA,NA,NA,NA,0.00638888888888889,NA,NA,NA,-2.16282315061889,2.89037175789616,NA,NA,NA,NA,NA,NA,0.105734176491261,NA,NA,NA
"6","LD728_21","EG728_21","LD728_21","CL210_21","E001_F120","delicata","CORT_28_5pg_Topical","28","low","3/02/2022","2021/22","1/01/2022",1,33,34,0.131,8.46,5.67,0.114,17,23,"3/06/2022",35,41,0.535,"LD728_21","10/08/2022",37,31,0.631,"DCL","ALIVE",NA,0,1,1,1,"tail fell off","","",2020-06-08,"12:14","5",98,"M","N",44,51,1.733,28,"low",117,"T2",839.82,"3",0.67,5,164.9,"",20,187,72809,"B",0.1579,1.4092,0.1511,20.9766,0.957,0.1661,0.1735,"",120,188,491,0.054989816700611,0.00329735234215886,0.15,0.00350833333333333,0.0242587601078167,0.00322911051212938,0.00670588235294118,0.0152857142857143,0.0170540540540541,0.0393863636363636,-2.17155683058764,2.83321334405622,-0.62548853208613,3.55534806148941,-0.460449416440924,3.61091791264422,0.549854010733469,3.78418963391826,0.119636475900108,0.339653883239269,0.414397130749506,1.49933107390259
"7","LD729_21","EG729_21","LD729_21","CL210_21","E001_F120","delicata","CORT_23_5pg_Topical","23","low","24/02/2022","2021/22","1/01/2022",1,54,55,0.126,7.98,5.42,0.114,18,24,"3/06/2022",28.5,41,0.389,"LD729_21","10/08/2022",28,40,0.448,"PR","ALIVE",NA,0,0,0,0,"","","",2020-05-23,"14:36",NA,42,"F","N",42,66,1.526,NA,"",NA,"",NA,NA,NA,NA,NA,"extra 500ul aliquot 42B",18,195,72809,"B",0.2783,1.8884,0.2162,16.3444,0.7768,0.2304,0.2966,"extra 500ul aliquot 42B",99,167,454,0.052863436123348,0.00311013215859031,0.106060606060606,0.00277777777777778,0.0380281690140845,0.00320281690140845,0.00633333333333333,0.0136491228070175,0.016,0.0363333333333333,-2.17155683058764,2.89037175789616,-0.944175935363691,3.3499040872746,-0.802962046567152,3.3322045101752,0.422649932862265,3.73766961828337,0.104814748869598,0.417253852017882,0.606103950685932,1.50869554200146
"8","LD730_21","EG730_21","LD730_21","CL211_21","E018_M","delicata","CORT_23_10pg_Topical","23","high","21/02/2022","2021/22","1/01/2022",1,51,52,0.162,8.29,6.38,0.128,17,25,"3/06/2022",28,38.5,0.447,"LD730_21","10/08/2022",32,45,0.538,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-05-24,"9:16","3",45,"M","N",42,66,1.456,23,"high",126,"T1",1183.42,"2",1.03,5,199.36,"800ul dilute(large sample)",21,195,72809,"A",0.7523,5.5276,0.5929,17.0026,0.7882,0.2571,0.3261,"800ul dilute(large sample)",102,170,458,0.054585152838428,0.00289956331877729,0.107843137254902,0.00312745098039216,0.0393258426966292,0.00283426966292135,0.00752941176470588,0.0159642857142857,0.0168125,0.0346666666666667,-2.05572501506252,2.83321334405622,-0.805196684368568,3.3322045101752,-0.619896718820353,3.46573590279973,0.375692949774494,3.73766961828337,0.134328674694858,0.501627257367884,0.51483832397757,1.43948932447846
"9","LD731_21","EG731_21","LD731_21","CL211_21","E018_M","delicata","CORT_23_5pg_Topical","23","low","21/02/2022","2021/22","1/01/2022",1,51,52,0.155,8.43,6.17,0.131,18,26,NA,NA,NA,NA,"LD731_21",NA,NA,NA,NA,"","MISSING",NA,0,0,0,0,"","Lizard missing 23 Mar 22","Lizard missing 23 Mar 22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,170,NA,NA,NA,NA,NA,NA,NA,0.00727777777777778,NA,NA,NA,-2.03255795578099,2.89037175789616,NA,NA,NA,NA,NA,NA,0.120445018437871,NA,NA,NA
"10","LD732_21","EG732_21","LD732_21","CL211_21","E018_M","delicata","C_23_Topical","23","control","20/02/2022","2021/22","1/01/2022",1,50,51,0.151,8.27,6.03,0.134,17,24,"3/06/2022",31,43.5,0.578,"LD732_21","10/08/2022",39,54,0.721,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-06-01,"9:16","4",69,"F","N",45,72,1.888,23,"control",219,"",NA,"4",0.61,5,242.74,"",28,338,72809,"A",0.272,2.0508,0.139,16.7623,0.5109,0.1392,0.2725,"",103,171,467,0.0599571734475375,0.0037558886509636,0.135922330097087,0.00431067961165049,0.0384615384615385,0.0035989010989011,0.00788235294117647,0.0186451612903226,0.0184871794871795,0.0419555555555556,-2.00991547903123,2.83321334405622,-0.54818141030976,3.43398720448515,-0.327116141697188,3.66356164612965,0.635518067723309,3.80666248977032,0.14062533132118,0.50021743525649,0.413082004870515,1.53146630249628
"11","LD733_21","EG733_21","LD733_21","CL211_21","E018_M","delicata","CORT_28_10pg_Topical","28","high","2/02/2022","2021/22","1/01/2022",1,32,33,0.156,8.66,6.21,0.129,18,25,"3/06/2022",29.5,36,0.435,"LD733_21","10/08/2022",33,42,0.532,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-05-31,"8:48","3",59,"M","N",41,67,1.366,28,"high",100,"T2",842.61,"2",0.44,5,198.22,"750ul media",22,168,72810,"A",0.3793,2.8508,0.4369,11.6801,1.1519,0.3365,0.2921,"750ul media",121,189,484,0.0475206611570248,0.00255578512396694,0.0950413223140496,0.00252892561983471,0.0316804407713499,0.00256473829201102,0.00716666666666667,0.0147457627118644,0.0161212121212121,0.0333170731707317,-2.04794287462046,2.89037175789616,-0.832409247893453,3.38439026334577,-0.631111789640493,3.49650756146648,0.311886761148598,3.71357206670431,0.118606163194545,0.427274026540045,0.470051853045724,1.44715521557434
"12","LD734_21","EG734_21","LD734_21","CL211_21","E018_M","delicata","C_28_Topical","28","control","31/01/2022","2021/22","1/01/2022",1,30,31,0.147,8.54,5.94,0.112,18,22,"3/06/2022",30,42,0.455,"LD734_21","10/08/2022",35,48,0.66,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-05-30,"8:51","3",52,"F","N",42,63,1.645,28,"control",120,"",NA,"2",0.82,5,188.05,"",24,217,72810,"B",0.5764,3.8559,0.4774,43.6409,0.8282,0.1883,0.2274,"",123,191,485,0.0494845360824742,0.00316082474226804,0.0975609756097561,0.00278861788617886,0.0331491712707182,0.00328729281767956,0.00622222222222222,0.0151666666666667,0.0188571428571429,0.0391666666666667,-2.18925640768704,2.89037175789616,-0.787457860031187,3.40119738166216,-0.415515443961666,3.55534806148941,0.497740384217335,3.73766961828337,0.102975893626272,0.428149279719446,0.500625564331727,1.62634611179057
"13","LD735_21","EG735_21","LD735_21","CL212_21","E025_M","delicata","C_28_Topical","28","control","2/02/2022","2021/22","1/01/2022",1,32,33,0.177,8.42,6.61,0.152,19,25,"3/06/2022",35.3,52,0.674,"LD735_21","10/08/2022",39,62,1.009,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-05-31,"9:01","4",62,"M","N",46,70,2.059,28,"control",136,"T2",1171.54,"2",0.84,5,304.38,"1000ul media",17,218,72809,"B",0.4835,3.3835,0.4381,21.8676,0.9061,0.2921,0.3223,"1000ul media",121,189,484,0.0557851239669422,0.0039400826446281,0.134710743801653,0.00431404958677686,0.0294765840220386,0.00381542699724518,0.008,0.0190934844192635,0.0258717948717949,0.0447608695652174,-1.88387475813586,2.94443897916644,-0.39452516806983,3.56388296393925,0.0089597413714718,3.66356164612965,0.722220428045652,3.8286413964891,0.123317981624364,0.418678226372255,0.578085635110056,1.56813544147387
"14","LD736_21","EG736_21","LD736_21","CL212_21","E025_M","delicata","CORT_28_5pg_Topical","28","low","1/02/2022","2021/22","1/01/2022",1,31,32,0.164,7.61,6.67,0.138,19,26,"3/06/2022",29,48,0.485,"LD736_21","10/08/2022",33,48,0.639,"PR","ALIVE",NA,0,0,0,0,"","","",2020-05-16,"9:24","5",9,"M","N",41,63,1.28,28,"low",136,"T1",780.08,"1",0.42,5,204.37,"",23,207,72810,"A",0.5124,2.2839,0.2827,54.6024,0.5517,0.2452,0.4444,"the values for basal seem very high for these two samples which were the first ones we did, perhaps eliminate?",122,190,470,0.0468085106382979,0.00242978723404255,0.0819672131147541,0.00284426229508197,0.0344827586206897,0.00228448275862069,0.00726315789473684,0.0167241379310345,0.0193636363636364,0.031219512195122,-1.98050159382493,2.94443897916644,-0.723606388044654,3.36729582998647,-0.447850824604602,3.49650756146648,0.246860077931526,3.71357206670431,0.111959746474751,0.497635009000056,0.564592357323717,1.35604588282223
"15","LD737_21","EG737_21","LD737_21","CL212_21","E025_M","delicata","C_23_Topical","23","control","21/02/2022","2021/22","1/01/2022",1,51,52,0.162,7.84,6.64,0.137,19,26,"3/06/2022",36,49,0.74,"LD737_21","10/08/2022",41,57,1.027,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-05-23,"9:04","6",36,"F","N",48,73,2.202,NA,"",248,"",NA,"1",0.63,5,205.57,"larger liver dilute in 600ul",15,318,72810,"B",0.3523,2.463,0.2398,25.2121,0.6807,0.1936,0.2844,"larger liver dilute in 600ul",102,170,457,0.0634573304157549,0.00451859956236324,0.166666666666667,0.00591176470588235,0.0338028169014084,0.00411830985915493,0.00721052631578947,0.0205555555555556,0.0250487804878049,0.045875,-1.98777435315401,2.94443897916644,-0.301105092783922,3.58351893845611,0.0266419309464211,3.71357206670431,0.789366038300488,3.87120101090789,0.111148443964065,0.437202400536483,0.516833520139415,1.48432757351339
"16","LD738_21","EG738_21","LD738_21","CL212_21","E025_M","delicata","CORT_23_5pg_Topical","23","low","21/02/2022","2021/22","1/01/2022",1,51,52,0.165,8.48,6.56,0.137,18,27,"3/06/2022",29.5,44,0.469,"LD738_21",NA,NA,NA,NA,"","ALIVE",NA,0,0,0,0,"","","",2020-05-16,"9:30","7",10,"F","N",46,69,1.92,23,"low",120,"",NA,"1",0.54,5,446.2,"",24,186,72810,"B",0.6271,5.3176,0.5002,71.1081,0.7976,0.2363,0.2963,"",102,170,450,0.0622222222222222,0.00396222222222222,0.112745098039216,0.00325490196078431,0.0474137931034483,0.00416954022988506,0.00761111111111111,0.0158983050847458,NA,0.0417391304347826,-1.98777435315401,2.89037175789616,-0.757152510535858,3.38439026334577,NA,NA,0.65232518603969,3.8286413964891,0.12596158416785,0.460670157350071,NA,1.46227297116553
"17","LD739_21","EG739_21","LD739_21","CL212_21","E025_M","delicata","CORT_23_10pg_Topical","23","high","18/02/2022","2021/22","1/01/2022",1,48,49,0.175,8.28,6.42,0.13,16,24,"3/06/2022",33.5,51,0.674,"LD739_21","10/08/2022",36,59,0.927,"","ALIVE",NA,0,0,0,0,"","","",2020-05-17,"13:40","7",16,"F","N",43,72,1.838,23,"high",137,"",NA,NA,NA,3,153.11,"",22,209,72810,"B",0.3494,3.3118,0.2797,13.8828,0.8007,0.1755,0.2191,"",105,173,454,0.0594713656387665,0.00376211453744493,0.166666666666667,0.00518095238095238,0.0272206303724928,0.0033352435530086,0.008125,0.0201194029850746,0.02575,0.0427441860465116,-2.04022082852655,2.77258872223978,-0.39452516806983,3.51154543883102,-0.0758017134162818,3.58351893845611,0.608678023933495,3.76120011569356,0.156973623599377,0.478525413325827,0.653616966479282,1.69856274932767
"18","LD740_21","EG740_21","LD740_21","CL213_21","E026_M","delicata","C_28_Topical","28","control",NA,"2021/22","1/01/2022",1,NA,NA,0.18,8.3,6.6,0.136,18,27,"3/06/2022",28.5,42,0.358,"LD740_21","10/08/2022",27,41,0.327,"PR","DEAD","9/09/2022",0,0,0,0,"","","hatchling died 9/9/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00755555555555556,0.0125614035087719,0.0121111111111111,NA,-1.99510039324608,2.89037175789616,-1.02722229258144,3.3499040872746,-1.11779510808488,3.29583686600433,NA,NA,0.125042156546187,0.384002259697691,0.486153482395682,NA
"19","LD742_21","EG742_21","LD742_21","CL213_21","E026_M","delicata","CORT_28_5pg_Topical","28","low","3/02/2022","2021/22","1/01/2022",1,33,34,0.184,8.6,6.57,0.136,17,28,"3/06/2022",28,42,0.451,"LD742_21","10/08/2022",30,44,0.51,"PR","ALIVE",NA,0,0,0,0,"","","",2020-06-08,"9:11","5",94,"M","N",39,62,1.239,28,"low",115,"T2",937.18,"3",0.66,5,189,"",19,196,72809,"B",0.1687,1.6873,0.1735,30.5721,1.0286,0.1391,0.1353,"FCCP measurement not flat",120,188,491,0.044806517311609,0.00224643584521385,0.0916666666666667,0.002625,0.0296495956873315,0.00212398921832884,0.008,0.0161071428571429,0.017,0.0317692307692308,-1.99510039324608,2.83321334405622,-0.796287939479459,3.3322045101752,-0.673344553263766,3.40119738166216,0.214304602647005,3.66356164612965,0.142724216863287,0.506116091885717,0.576953510746323,1.51506641486192
"20","LD743_21","EG743_21","LD743_21","CL213_21","E026_M","delicata","C_23_Topical","23","control",NA,"2021/22","1/01/2022",1,NA,NA,0.187,8.35,6.8,0.139,19,27,"3/06/2022",26,38,0.304,"LD743_21","10/08/2022",27,36,0.368,"DCL","ALIVE",NA,0,0,0,0,"","","",2020-05-22,"10:40","6",27,"M","N",39,60,1.27,23,"control",104,"T1",726.67,"1",0.66,5,112.3,"",30,199,72810,"A",0.1869,1.9772,0.2456,NA,1.314,NA,NA,"no FCCP injected?",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00731578947368421,0.0116923076923077,0.0136296296296296,0.0325641025641026,-1.97328134585145,2.94443897916644,-1.19072757757592,3.25809653802148,-0.999672340813206,3.29583686600433,0.2390169004705,3.66356164612965,0.112771048985438,0.412199906387203,0.547108506182297,1.55297364558082
"21","LD744_21","EG744_21","LD744_21","CL214_21","E007_F120","delicata","C_28_Topical","28","control","6/02/2022","2021/22","1/01/2022",1,36,37,0.119,9.16,5.48,0.138,19,27,"3/06/2022",28.5,43,0.47,"LD744_21","10/08/2022",31,46,0.563,"PR","ALIVE",NA,0,0,0,0,"","","",2020-05-19,"9:53","6",22,"F","N",42,65,1.555,28,"control",125,"",NA,"1",0.64,5,144.84,"",20,209,72809,"B",0.0889,0.9404,0.1814,10.2595,2.0412,0.2472,0.1211,"",117,185,468,0.0491452991452991,0.00302777777777778,0.0811965811965812,0.00283760683760684,0.0384615384615385,0.00309116809116809,0.00726315789473684,0.0164912280701754,0.0181612903225806,0.0370238095238095,-1.98050159382493,2.94443897916644,-0.755022584278033,3.3499040872746,-0.574475650842447,3.43398720448515,0.441475545631197,3.73766961828337,0.111959746474751,0.50413704485451,0.58499447686387,1.53736668926099
"22","LD746_21","EG746_21","LD746_21","CL214_21","E007_F120","delicata","C_23_Topical","23","control","23/02/2022","2021/22","1/01/2022",1,53,54,0.119,8.68,5.49,0.129,17,25,"3/06/2022",31,45,0.496,"LD746_21","10/08/2022",34,54,0.742,"PR","ALIVE",NA,0,0,0,0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,168,NA,NA,NA,0.14,0.00367,NA,NA,0.00758823529411765,0.016,0.0218235294117647,NA,-2.04794287462046,2.83321334405622,-0.70117935225721,3.43398720448515,-0.298406035814757,3.52636052461616,NA,NA,0.135378117465912,0.429252331984808,0.606761762406844,NA
